 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
      53.600  1.3511328E-07  7.4749610E-05  1.1066854E-07  6.1225885E-05
      53.800  1.4385125E-07  7.9583775E-05  1.2084229E-07  6.6854375E-05
      54.000  1.4876515E-07  8.2302320E-05  1.3070093E-07  7.2308534E-05
      54.200  1.5074694E-07  8.3398720E-05  1.4022086E-07  7.7575310E-05
      54.400  1.5108042E-07  8.3583217E-05  1.4938145E-07  8.2643282E-05
      54.600  1.5122462E-07  8.3662993E-05  1.5816523E-07  8.7502793E-05
      54.800  1.5257464E-07  8.4409873E-05  1.6655846E-07  9.2146231E-05
      55.000  1.5623860E-07  8.6436909E-05  1.7455066E-07  9.6567813E-05
      55.200  1.6286591E-07  9.0103379E-05  1.8213475E-07  1.0076361E-04
      55.400  1.7255273E-07  9.5462482E-05  1.8930611E-07  1.0473106E-04
      55.600  1.8483844E-07  1.0225938E-04  1.9606217E-07  1.0846876E-04
      55.800  1.9879102E-07  1.0997846E-04  2.0240139E-07  1.1197585E-04
      56.000  2.1316570E-07  1.1793106E-04  2.0832227E-07  1.1525150E-04
      56.200  2.2661075E-07  1.2536936E-04  2.1382266E-07  1.1829452E-04
      56.400  2.3788481E-07  1.3160658E-04  2.1889879E-07  1.2110282E-04
      56.600  2.4605266E-07  1.3612533E-04  2.2354498E-07  1.2367326E-04
      56.800  2.5062683E-07  1.3865593E-04  2.2775323E-07  1.2600142E-04
      57.000  2.5163500E-07  1.3921369E-04  2.3151351E-07  1.2808174E-04
      57.200  2.4960292E-07  1.3808947E-04  2.3481420E-07  1.2990780E-04
      57.400  2.4545814E-07  1.3579642E-04  2.3764277E-07  1.3147267E-04
      57.600  2.4037117E-07  1.3298212E-04  2.3998698E-07  1.3276957E-04
      57.800  2.3556136E-07  1.3032116E-04  2.4183594E-07  1.3379249E-04
      58.000  2.3209870E-07  1.2840549E-04  2.4318141E-07  1.3453685E-04
      58.200  2.3073422E-07  1.2765061E-04  2.4401882E-07  1.3500014E-04
      58.400  2.3178510E-07  1.2823200E-04  2.4434828E-07  1.3518240E-04
      58.600  2.3509224E-07  1.3006163E-04  2.4417510E-07  1.3508660E-04
      58.800  2.4005554E-07  1.3280751E-04  2.4351007E-07  1.3471868E-04
      59.000  2.4574013E-07  1.3595243E-04  2.4236926E-07  1.3408754E-04
      59.200  2.5103462E-07  1.3888154E-04  2.4077346E-07  1.3320468E-04
      59.400  2.5483593E-07  1.4098456E-04  2.3874726E-07  1.3208372E-04
      59.600  2.5622943E-07  1.4175549E-04  2.3631796E-07  1.3073974E-04
      59.800  2.5463663E-07  1.4087430E-04  2.3351413E-07  1.2918856E-04
      60.000  2.4990639E-07  1.3825736E-04  2.3036441E-07  1.2744602E-04
      60.200  2.4233642E-07  1.3406937E-04  2.2689623E-07  1.2552729E-04
      60.400  2.3262227E-07  1.2869515E-04  2.2313474E-07  1.2344630E-04
      60.600  2.2174381E-07  1.2267679E-04  2.1910219E-07  1.2121535E-04
      60.800  2.1080707E-07  1.1662618E-04  2.1481739E-07  1.1884484E-04
      61.000  2.0086902E-07  1.1112809E-04  2.1029582E-07  1.1634334E-04
      61.200  1.9277183E-07  1.0664843E-04  2.0554984E-07  1.1371769E-04
      61.400  1.8701433E-07  1.0346317E-04  2.0058927E-07  1.1097332E-04
      61.600  1.8367984E-07  1.0161840E-04  1.9542230E-07  1.0811476E-04
      61.800  1.8243100E-07  1.0092750E-04  1.9005621E-07  1.0514605E-04
      62.000  1.8257197E-07  1.0100549E-04  1.8449852E-07  1.0207133E-04
      62.200  1.8316637E-07  1.0133434E-04  1.7875756E-07  9.8895219E-05
      62.400  1.8319193E-07  1.0134848E-04  1.7284329E-07  9.5623230E-05
      62.600  1.8170628E-07  1.0052656E-04  1.6676781E-07  9.2262053E-05
      62.800  1.7799756E-07  9.8474762E-05  1.6054535E-07  8.8819558E-05
      63.000  1.7169622E-07  9.4988627E-05  1.5419245E-07  8.5304901E-05
      63.200  1.6283046E-07  9.0083769E-05  1.4772744E-07  8.1728224E-05
